month_year,match_status,Police_district_Number,count
2020-09,Match,6D,252
2020-09,Match,Unknown,2
2020-10,Crime,1D,35
2020-10,Crime,2D,13
2020-10,Crime,3D,34
2020-10,Crime,4D,33
2020-10,Crime,5D,11
2020-10,Crime,6D,28
2020-10,Crime,TPPD,40
2020-10,Dispatch,1D,2389
2020-10,Dispatch,2D,1965
2020-10,Dispatch,3D,2709
2020-10,Dispatch,4D,2798
2020-10,Dispatch,5D,1968
2020-10,Dispatch,6D,2460
2020-10,Dispatch,TRU,5
2020-10,Match,1D,251
2020-10,Match,2D,318
2020-10,Match,3D,344
2020-10,Match,4D,314
2020-10,Match,5D,154
2020-10,Match,6D,224
2020-11,Crime,1D,21
2020-11,Crime,2D,13
2020-11,Crime,3D,29
2020-11,Crime,4D,17
2020-11,Crime,5D,12
2020-11,Crime,6D,24
2020-11,Crime,TPPD,39
2020-11,Dispatch,1D,2176
2020-11,Dispatch,2D,1934
2020-11,Dispatch,3D,2709
2020-11,Dispatch,4D,2571
2020-11,Dispatch,5D,1920
2020-11,Dispatch,6D,2430
2020-11,Dispatch,TRU,6
2020-11,Match,1D,257
2020-11,Match,2D,273
2020-11,Match,3D,312
2020-11,Match,4D,305
2020-11,Match,5D,170
2020-11,Match,6D,277
2020-11,Match,Unknown,1
2020-12,Crime,1D,27
2020-12,Crime,2D,12
2020-12,Crime,3D,26
2020-12,Crime,4D,27
2020-12,Crime,5D,18
2020-12,Crime,6D,23
2020-12,Crime,TPPD,39
2020-12,Dispatch,1D,1932
2020-12,Dispatch,2D,1983
2020-12,Dispatch,3D,2638
2020-12,Dispatch,4D,2484
2020-12,Dispatch,5D,1806
2020-12,Dispatch,6D,2328
2020-12,Dispatch,OOC,1
2020-12,Match,1D,266
2020-12,Match,2D,321
2020-12,Match,3D,323
2020-12,Match,4D,266
2020-12,Match,5D,148
2020-12,Match,6D,221
2020-12,Match,Unknown,1
2021-01,Crime,1D,29
2021-01,Crime,2D,13
2021-01,Crime,3D,33
2021-01,Crime,4D,27
2021-01,Crime,5D,6
2021-01,Crime,6D,17
2021-01,Crime,TPPD,50
2021-01,Dispatch,1D,1912
2021-01,Dispatch,2D,1786
2021-01,Dispatch,3D,2587
2021-01,Dispatch,4D,2176
2021-01,Dispatch,5D,1796
2021-01,Dispatch,6D,2203
2021-01,Match,1D,224
2021-01,Match,2D,279
2021-01,Match,3D,262
2021-01,Match,4D,240
2021-01,Match,5D,134
2021-01,Match,6D,214
2021-02,Crime,1D,31
2021-02,Crime,2D,9
2021-02,Crime,3D,25
2021-02,Crime,4D,19
2021-02,Crime,5D,8
2021-02,Crime,6D,22
2021-02,Crime,TPPD,55
2021-02,Dispatch,1D,1714
2021-02,Dispatch,2D,1558
2021-02,Dispatch,3D,2217
2021-02,Dispatch,4D,2097
2021-02,Dispatch,5D,1495
2021-02,Dispatch,6D,1968
2021-02,Match,1D,201
2021-02,Match,2D,209
2021-02,Match,3D,203
2021-02,Match,4D,187
2021-02,Match,5D,109
2021-02,Match,6D,179
2021-02,Match,TPPD,1
2021-02,Match,Unknown,1
2021-03,Crime,1D,23
2021-03,Crime,2D,9
2021-03,Crime,3D,37
2021-03,Crime,4D,24
2021-03,Crime,5D,10
2021-03,Crime,6D,14
2021-03,Crime,TPPD,56
2021-03,Dispatch,1D,2210
2021-03,Dispatch,2D,2052
2021-03,Dispatch,3D,2677
2021-03,Dispatch,4D,2630
2021-03,Dispatch,5D,1837
2021-03,Dispatch,6D,2427
2021-03,Dispatch,OOC,2
2021-03,Match,1D,232
2021-03,Match,2D,254
2021-03,Match,3D,292
2021-03,Match,4D,220
2021-03,Match,5D,124
2021-03,Match,6D,176
2021-04,Crime,1D,26
2021-04,Crime,2D,12
2021-04,Crime,3D,30
2021-04,Crime,4D,20
2021-04,Crime,5D,14
2021-04,Crime,6D,22
2021-04,Crime,TPPD,58
2021-04,Dispatch,1D,2161
2021-04,Dispatch,2D,1967
2021-04,Dispatch,3D,2644
2021-04,Dispatch,4D,2520
2021-04,Dispatch,5D,1815
2021-04,Dispatch,6D,2345
2021-04,Match,1D,194
2021-04,Match,2D,258
2021-04,Match,3D,244
2021-04,Match,4D,240
2021-04,Match,5D,147
2021-04,Match,6D,194
2021-04,Match,Unknown,1
2021-05,Crime,1D,18
2021-05,Crime,2D,17
2021-05,Crime,3D,24
2021-05,Crime,4D,25
2021-05,Crime,5D,14
2021-05,Crime,6D,24
2021-05,Crime,TPPD,53
2021-05,Dispatch,1D,2317
2021-05,Dispatch,2D,2111
2021-05,Dispatch,3D,2736
2021-05,Dispatch,4D,2874
2021-05,Dispatch,5D,1951
2021-05,Dispatch,6D,2707
2021-05,Dispatch,OOC,2
2021-05,Dispatch,PCW,1
2021-05,Match,1D,273
2021-05,Match,2D,308
2021-05,Match,3D,281
2021-05,Match,4D,270
2021-05,Match,5D,156
2021-05,Match,6D,200
2021-05,Match,Unknown,1
2021-06,Crime,1D,30
2021-06,Crime,2D,17
2021-06,Crime,3D,42
2021-06,Crime,4D,33
2021-06,Crime,5D,9
2021-06,Crime,6D,18
2021-06,Crime,TPPD,55
2021-06,Dispatch,1D,2402
2021-06,Dispatch,2D,2319
2021-06,Dispatch,3D,2915
2021-06,Dispatch,4D,2824
2021-06,Dispatch,5D,2064
2021-06,Dispatch,6D,2560
2021-06,Dispatch,OOC,1
2021-06,Match,1D,251
2021-06,Match,2D,320
2021-06,Match,3D,290
2021-06,Match,4D,286
2021-06,Match,5D,142
2021-06,Match,6D,193
2021-06,Match,Unknown,2
2021-07,Crime,1D,35
2021-07,Crime,2D,21
2021-07,Crime,3D,37
2021-07,Crime,4D,45
2021-07,Crime,5D,29
2021-07,Crime,6D,33
2021-07,Crime,TPPD,50
2021-07,Dispatch,1D,2462
2021-07,Dispatch,2D,2329
2021-07,Dispatch,3D,3024
2021-07,Dispatch,4D,2948
2021-07,Dispatch,5D,2079
2021-07,Dispatch,6D,2614
2021-07,Match,1D,278
2021-07,Match,2D,329
2021-07,Match,3D,298
2021-07,Match,4D,306
2021-07,Match,5D,162
2021-07,Match,6D,186
2021-07,Match,Unknown,3
2021-08,Crime,1D,42
2021-08,Crime,2D,29
2021-08,Crime,3D,41
2021-08,Crime,4D,28
2021-08,Crime,5D,21
2021-08,Crime,6D,20
2021-08,Crime,TPPD,48
2021-08,Crime,Unknown,1
2021-08,Dispatch,1D,2374
2021-08,Dispatch,2D,2401
2021-08,Dispatch,3D,2879
2021-08,Dispatch,4D,2836
2021-08,Dispatch,5D,1961
2021-08,Dispatch,6D,2530
2021-08,Match,1D,280
2021-08,Match,2D,265
2021-08,Match,3D,306
2021-08,Match,4D,254
2021-08,Match,5D,154
2021-08,Match,6D,216
2021-09,Crime,1D,29
2021-09,Crime,2D,20
2021-09,Crime,3D,31
2021-09,Crime,4D,24
2021-09,Crime,5D,18
2021-09,Crime,6D,28
2021-09,Crime,TPPD,44
2021-09,Crime,Unknown,1
2021-09,Dispatch,1D,2412
2021-09,Dispatch,2D,2312
2021-09,Dispatch,3D,2992
2021-09,Dispatch,4D,2891
2021-09,Dispatch,5D,1896
2021-09,Dispatch,6D,2504
2021-09,Dispatch,OOC,1
2021-09,Match,1D,270
2021-09,Match,2D,301
2021-09,Match,3D,327
2021-09,Match,4D,278
2021-09,Match,5D,157
2021-09,Match,6D,195
2021-10,Crime,1D,47
2021-10,Crime,2D,10
2021-10,Crime,3D,44
2021-10,Crime,4D,21
2021-10,Crime,5D,21
2021-10,Crime,6D,28
2021-10,Crime,TPPD,65
2021-10,Crime,Unknown,3
2021-10,Dispatch,1D,2558
2021-10,Dispatch,2D,2396
2021-10,Dispatch,3D,3145
2021-10,Dispatch,4D,3147
2021-10,Dispatch,5D,2178
2021-10,Dispatch,6D,2757
2021-10,Match,1D,302
2021-10,Match,2D,348
2021-10,Match,3D,341
2021-10,Match,4D,265
2021-10,Match,5D,205
2021-10,Match,6D,230
2021-11,Crime,1D,31
2021-11,Crime,2D,16
2021-11,Crime,3D,52
2021-11,Crime,4D,26
2021-11,Crime,5D,15
2021-11,Crime,6D,33
2021-11,Crime,TPPD,37
2021-11,Dispatch,1D,2301
2021-11,Dispatch,2D,2212
2021-11,Dispatch,3D,2793
2021-11,Dispatch,4D,2775
2021-11,Dispatch,5D,1908
2021-11,Dispatch,6D,2449
2021-11,Match,1D,288
2021-11,Match,2D,262
2021-11,Match,3D,319
2021-11,Match,4D,226
2021-11,Match,5D,132
2021-11,Match,6D,182
2021-11,Match,Unknown,1
2021-12,Crime,1D,26
2021-12,Crime,2D,19
2021-12,Crime,3D,59
2021-12,Crime,4D,20
2021-12,Crime,5D,23
2021-12,Crime,6D,29
2021-12,Crime,TPPD,33
2021-12,Crime,Unknown,1
2021-12,Dispatch,1D,2284
2021-12,Dispatch,2D,2186
2021-12,Dispatch,3D,2789
2021-12,Dispatch,4D,2692
2021-12,Dispatch,5D,1918
2021-12,Dispatch,6D,2342
2021-12,Match,1D,250
2021-12,Match,2D,328
2021-12,Match,3D,277
2021-12,Match,4D,324
2021-12,Match,5D,136
2021-12,Match,6D,214
2022-01,Crime,1D,27
2022-01,Crime,2D,28
2022-01,Crime,3D,43
2022-01,Crime,4D,29
2022-01,Crime,5D,23
2022-01,Crime,6D,32
2022-01,Crime,TPPD,41
2022-01,Crime,Unknown,1
2022-01,Dispatch,1D,2088
2022-01,Dispatch,2D,1962
2022-01,Dispatch,3D,2632
2022-01,Dispatch,4D,2671
2022-01,Dispatch,5D,1659
2022-01,Dispatch,6D,2142
2022-01,Dispatch,OOC,2
2022-01,Dispatch,PCW,1
2022-01,Match,1D,264
2022-01,Match,2D,301
2022-01,Match,3D,225
2022-01,Match,4D,289
2022-01,Match,5D,127
2022-01,Match,6D,202
2022-01,Match,Unknown,5
2022-02,Crime,1D,33
2022-02,Crime,2D,18
2022-02,Crime,3D,50
2022-02,Crime,4D,24
2022-02,Crime,5D,22
2022-02,Crime,6D,25
2022-02,Crime,TPPD,63
2022-02,Dispatch,1D,2032
2022-02,Dispatch,2D,1935
2022-02,Dispatch,3D,2604
2022-02,Dispatch,4D,2536
2022-02,Dispatch,5D,1664
2022-02,Dispatch,6D,2208
2022-02,Match,1D,252
2022-02,Match,2D,290
2022-02,Match,3D,241
2022-02,Match,4D,274
