month_year,Crime Name2,count
2019-09,Drug/Narcotic Violations,91
2019-09,Embezzlement,7
2019-09,Extortion/Blackmail,1
2019-09,False Pretenses/Swindle/Confidence Game,23
2019-09,"Family Offenses, NonViolent",4
2019-09,Forcible Fondling,6
2019-09,Forcible Rape,10
2019-09,Forcible Sodomy,3
2019-09,From Coin/Operated Machine or Device,1
2019-09,Identity Theft,35
2019-09,Impersonation,1
2019-09,Intimidation,2
2019-09,Liquor Law Violations,32
2019-09,Motor Vehicle Theft,51
2019-09,Pocket/picking,3
2019-09,Purse-snatching,2
2019-09,Robbery,17
2019-09,Runaway,10
2019-09,Sexual Assault With An Object,1
2019-09,Shoplifting,102
2019-09,Simple Assault,109
2019-09,Statuory Rape,1
2019-09,Theft From Motor Vehicle,277
2019-09,Theft from Building,93
2019-09,Theft of Motor Vehicle Parts or Accessories,74
2019-09,Trespass of Real Property,20
2019-09,Weapon Law Violations,4
2019-09,Wire Fraud,2
2019-10,Aggravated Assault,29
2019-10,All Other Offenses,375
2019-10,All other Larceny,128
2019-10,Burglary/Breaking and Entering,100
2019-10,Counterfeiting/Forgery,16
2019-10,Credit Card/Automatic Teller Machine Fraud,19
2019-10,Destruction/Damage/Vandalism of Property,148
2019-10,Disorderly Conduct,33
2019-10,Driving Under the Influence,59
2019-10,Drug Equipment Violations,8
2019-10,Drug/Narcotic Violations,86
2019-10,Embezzlement,2
2019-10,Extortion/Blackmail,1
2019-10,False Pretenses/Swindle/Confidence Game,28
2019-10,"Family Offenses, NonViolent",8
2019-10,Forcible Fondling,8
2019-10,Forcible Rape,9
2019-10,Forcible Sodomy,5
2019-10,From Coin/Operated Machine or Device,1
2019-10,Identity Theft,31
2019-10,Impersonation,2
2019-10,Liquor Law Violations,30
2019-10,Motor Vehicle Theft,50
2019-10,Murder and Nonnegligent Manslaughter,1
2019-10,Pocket/picking,6
2019-10,Prostitution,1
2019-10,Purse-snatching,6
2019-10,Robbery,23
2019-10,Runaway,25
2019-10,Sexual Assault With An Object,3
2019-10,Shoplifting,85
2019-10,Simple Assault,97
2019-10,Theft From Motor Vehicle,348
2019-10,Theft from Building,123
2019-10,Theft of Motor Vehicle Parts or Accessories,64
2019-10,Trespass of Real Property,20
2019-10,Weapon Law Violations,16
2019-11,Aggravated Assault,16
2019-11,All Other Offenses,340
2019-11,All other Larceny,116
2019-11,Assisting or Promoting Prostitution,1
2019-11,Burglary/Breaking and Entering,123
2019-11,Counterfeiting/Forgery,11
2019-11,Credit Card/Automatic Teller Machine Fraud,46
2019-11,Destruction/Damage/Vandalism of Property,161
2019-11,Disorderly Conduct,40
2019-11,Driving Under the Influence,96
2019-11,Drug Equipment Violations,5
2019-11,Drug/Narcotic Violations,98
2019-11,Embezzlement,4
2019-11,Extortion/Blackmail,1
2019-11,False Pretenses/Swindle/Confidence Game,24
2019-11,"Family Offenses, NonViolent",2
2019-11,Forcible Fondling,8
2019-11,Forcible Rape,14
2019-11,Forcible Sodomy,4
2019-11,"Human Trafficking, Commercial Sex Acts",1
2019-11,Identity Theft,29
2019-11,Impersonation,1
2019-11,Intimidation,3
2019-11,Liquor Law Violations,24
2019-11,Motor Vehicle Theft,57
2019-11,Pocket/picking,10
2019-11,Pornography/Obscene Material,3
2019-11,Prostitution,2
2019-11,Purse-snatching,3
2019-11,Robbery,12
2019-11,Runaway,13
2019-11,Sexual Assault With An Object,3
2019-11,Shoplifting,90
2019-11,Simple Assault,101
2019-11,Theft From Motor Vehicle,346
2019-11,Theft from Building,113
2019-11,Theft of Motor Vehicle Parts or Accessories,63
2019-11,Trespass of Real Property,30
2019-11,Weapon Law Violations,10
2019-11,Wire Fraud,2
2019-12,Aggravated Assault,21
